АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
984;4484000;4485999;2000;ООО "Новые мобильные коммуникации";Костромская обл.;Костромская область;7727443720
984;4486000;4488999;3000;ООО "Новые мобильные коммуникации";Краснодарский край;Краснодарский край;7727443720
984;4489000;4498999;10000;ООО "Новые мобильные коммуникации";Красноярский край;Красноярский край;7727443720
984;4499000;4500999;2000;ООО "Новые мобильные коммуникации";Курганская обл.;Курганская область;7727443720
984;4501000;4503999;3000;ООО "Новые мобильные коммуникации";Курская обл.;Курская область;7727443720
984;4504000;4518999;15000;ООО "Новые мобильные коммуникации";г. Санкт-Петербург * Ленинградская область;Город Санкт-Петербург, Ленинградская область;7727443720
984;4519000;4520999;2000;ООО "Новые мобильные коммуникации";Липецкая обл.;Липецкая область;7727443720
984;4521000;4521999;1000;ООО "Новые мобильные коммуникации";Магаданская обл.;Магаданская область;7727443720
984;4522000;4524999;3000;ООО "Новые мобильные коммуникации";Мурманская обл.;Мурманская область;7727443720
984;4525000;4528999;4000;ООО "Новые мобильные коммуникации";Нижегородская обл.;Нижегородская область;7727443720
984;4529000;4530999;2000;ООО "Новые мобильные коммуникации";Новгородская обл.;Новгородская область;7727443720
984;4531000;4534999;4000;ООО "Новые мобильные коммуникации";Новосибирская обл.;Новосибирская область;7727443720
984;4535000;4540999;6000;ООО "Новые мобильные коммуникации";Омская обл.;Омская область;7727443720
984;4541000;4545999;5000;ООО "Новые мобильные коммуникации";Оренбургская обл.;Оренбургская область;7727443720
984;4546000;4547999;2000;ООО "Новые мобильные коммуникации";Орловская обл.;Орловская область;7727443720
984;4548000;4548999;1000;ООО "Новые мобильные коммуникации";Пензенская обл.;Пензенская область;7727443720
984;4549000;4552999;4000;ООО "Новые мобильные коммуникации";Пермский край;Пермский край;7727443720
984;4553000;4554999;2000;ООО "Новые мобильные коммуникации";Приморский край;Приморский край;7727443720
984;4555000;4555999;1000;ООО "Новые мобильные коммуникации";Псковская обл.;Псковская область;7727443720
984;4556000;4556999;1000;ООО "Новые мобильные коммуникации";Республика Алтай;Республика Алтай;7727443720
984;4557000;4558999;2000;ООО "Новые мобильные коммуникации";Республика Бурятия;Республика Бурятия;7727443720
984;4559000;4559999;1000;ООО "Новые мобильные коммуникации";Республика Карелия;Республика Карелия;7727443720
984;4560000;4563999;4000;ООО "Новые мобильные коммуникации";Республика Коми;Республика Коми;7727443720
984;4564000;4565999;2000;ООО "Новые мобильные коммуникации";Республика Марий Эл;Республика Марий Эл;7727443720
984;4566000;4567999;2000;ООО "Новые мобильные коммуникации";Республика Мордовия;Республика Мордовия;7727443720
984;4568000;4571999;4000;ООО "Новые мобильные коммуникации";Республика Татарстан;Республика Татарстан;7727443720
984;4572000;4572999;1000;ООО "Новые мобильные коммуникации";Республика Тыва;Республика Тыва;7727443720
984;4573000;4573999;1000;ООО "Новые мобильные коммуникации";Республика Хакасия;Республика Хакасия;7727443720
984;4574000;4575999;2000;ООО "Новые мобильные коммуникации";Ростовская обл.;Ростовская область;7727443720
984;4576000;4577999;2000;ООО "Новые мобильные коммуникации";Рязанская обл.;Рязанская область;7727443720
984;4578000;4581999;4000;ООО "Новые мобильные коммуникации";Самарская обл.;Самарская область;7727443720
984;4582000;4584999;3000;ООО "Новые мобильные коммуникации";Саратовская обл.;Саратовская область;7727443720
984;4585000;4586999;2000;ООО "Новые мобильные коммуникации";Сахалинская обл.;Сахалинская область;7727443720
984;4587000;4593999;7000;ООО "Новые мобильные коммуникации";Свердловская обл.;Свердловская область;7727443720
984;4594000;4595999;2000;ООО "Новые мобильные коммуникации";Смоленская обл.;Смоленская область;7727443720
984;4596000;4597999;2000;ООО "Новые мобильные коммуникации";Республика Адыгея;Республика Адыгея;7727443720
984;4598000;4599999;2000;ООО "Новые мобильные коммуникации";Тамбовская обл.;Тамбовская область;7727443720
984;4600000;4601999;2000;ООО "Новые мобильные коммуникации";Тверская обл.;Тверская область;7727443720
984;4602000;4605999;4000;ООО "Новые мобильные коммуникации";Томская обл.;Томская область;7727443720
984;4606000;4611999;6000;ООО "Новые мобильные коммуникации";Тюменская обл.;Тюменская область;7727443720
984;4612000;4613999;2000;ООО "Новые мобильные коммуникации";Удмуртская Республика;Удмуртская Республика;7727443720
984;4614000;4615999;2000;ООО "Новые мобильные коммуникации";Ульяновская обл.;Ульяновская область;7727443720
984;4616000;4623999;8000;ООО "Новые мобильные коммуникации";Ханты - Мансийский - Югра АО;Ханты-Мансийский автономный округ - Югра;7727443720
